HomeTeam,HG,AG,AwayTeam
Dortmund,2,1,Werder Bremen
Freiburg,1,1,Mainz
Stuttgart,0,1,Wolfsburg
Hamburg,0,1,Nurnberg
Greuther Furth,0,3,Bayern Munich
M'gladbach,2,1,Hoffenheim
Augsburg,0,2,Fortuna Dusseldorf
Ein Frankfurt,2,1,Leverkusen
Hannover,2,2,Schalke 04
Mainz,0,1,Greuther Furth
Hoffenheim,0,4,Ein Frankfurt
Leverkusen,2,0,Freiburg
Nurnberg,1,1,Dortmund
Schalke 04,3,1,Augsburg
Werder Bremen,2,0,Hamburg
Fortuna Dusseldorf,0,0,M'gladbach
Bayern Munich,6,1,Stuttgart
Wolfsburg,0,4,Hannover
Augsburg,0,0,Wolfsburg
Bayern Munich,3,1,Mainz
Dortmund,3,0,Leverkusen
Greuther Furth,0,2,Schalke 04
Hannover,3,2,Werder Bremen
M'gladbach,2,3,Nurnberg
Stuttgart,0,0,Fortuna Dusseldorf
Freiburg,5,3,Hoffenheim
Ein Frankfurt,3,2,Hamburg
Nurnberg,1,2,Ein Frankfurt
Fortuna Dusseldorf,0,0,Freiburg
Hamburg,3,2,Dortmund
Mainz,2,0,Augsburg
Schalke 04,0,2,Bayern Munich
Wolfsburg,1,1,Greuther Furth
Hoffenheim,3,1,Hannover
Leverkusen,1,1,M'gladbach
Werder Bremen,2,2,Stuttgart
Bayern Munich,3,0,Wolfsburg
Ein Frankfurt,3,3,Dortmund
Greuther Furth,0,2,Fortuna Dusseldorf
Schalke 04,3,0,Mainz
Hannover,4,1,Nurnberg
Stuttgart,0,3,Hoffenheim
M'gladbach,2,2,Hamburg
Augsburg,1,3,Leverkusen
Freiburg,1,2,Werder Bremen
Fortuna Dusseldorf,2,2,Schalke 04
Dortmund,5,0,M'gladbach
Hamburg,1,0,Hannover
Hoffenheim,0,0,Augsburg
Leverkusen,2,0,Greuther Furth
Nurnberg,0,2,Stuttgart
Werder Bremen,0,2,Bayern Munich
Ein Frankfurt,2,1,Freiburg
Wolfsburg,0,2,Mainz
Augsburg,3,1,Werder Bremen
Bayern Munich,2,0,Hoffenheim
Freiburg,3,0,Nurnberg
Greuther Furth,0,1,Hamburg
Mainz,1,0,Fortuna Dusseldorf
Schalke 04,3,0,Wolfsburg
Stuttgart,2,2,Leverkusen
Hannover,1,1,Dortmund
M'gladbach,2,0,Ein Frankfurt
Hoffenheim,3,3,Greuther Furth
Dortmund,1,2,Schalke 04
Ein Frankfurt,3,1,Hannover
Fortuna Dusseldorf,0,5,Bayern Munich
Leverkusen,2,2,Mainz
Werder Bremen,4,0,M'gladbach
Wolfsburg,0,2,Freiburg
Hamburg,0,1,Stuttgart
Nurnberg,0,0,Augsburg
Augsburg,0,2,Hamburg
Fortuna Dusseldorf,1,4,Wolfsburg
Freiburg,0,2,Dortmund
Greuther Furth,1,1,Werder Bremen
Mainz,3,0,Hoffenheim
Schalke 04,1,0,Nurnberg
Stuttgart,2,1,Ein Frankfurt
Bayern Munich,1,2,Leverkusen
Hannover,2,3,M'gladbach
Ein Frankfurt,1,1,Greuther Furth
Nurnberg,1,0,Wolfsburg
M'gladbach,1,1,Freiburg
Dortmund,0,0,Stuttgart
Hannover,2,0,Augsburg
Hamburg,0,3,Bayern Munich
Hoffenheim,3,2,Schalke 04
Leverkusen,3,2,Fortuna Dusseldorf
Werder Bremen,2,1,Mainz
Mainz,2,1,Nurnberg
Augsburg,1,3,Dortmund
Bayern Munich,2,0,Ein Frankfurt
Fortuna Dusseldorf,1,1,Hoffenheim
Freiburg,0,0,Hamburg
Schalke 04,2,1,Werder Bremen
Wolfsburg,3,1,Leverkusen
Greuther Furth,2,4,M'gladbach
Stuttgart,2,4,Hannover
Ein Frankfurt,4,2,Augsburg
Dortmund,3,1,Greuther Furth
Hamburg,1,0,Mainz
Hannover,1,2,Freiburg
Leverkusen,2,0,Schalke 04
M'gladbach,1,2,Stuttgart
Nurnberg,1,1,Bayern Munich
Hoffenheim,1,3,Wolfsburg
Werder Bremen,2,1,Fortuna Dusseldorf
Fortuna Dusseldorf,2,0,Hamburg
Bayern Munich,5,0,Hannover
Greuther Furth,0,0,Nurnberg
Mainz,1,2,Dortmund
Schalke 04,1,1,Ein Frankfurt
Wolfsburg,1,1,Werder Bremen
Hoffenheim,1,2,Leverkusen
Freiburg,3,0,Stuttgart
Augsburg,1,1,M'gladbach
Hannover,2,0,Greuther Furth
Dortmund,1,1,Fortuna Dusseldorf
Ein Frankfurt,1,3,Mainz
Hamburg,3,1,Schalke 04
Freiburg,0,2,Bayern Munich
M'gladbach,2,0,Wolfsburg
Nurnberg,4,2,Hoffenheim
Werder Bremen,1,4,Leverkusen
Stuttgart,2,1,Augsburg
Fortuna Dusseldorf,4,0,Ein Frankfurt
Schalke 04,1,1,M'gladbach
Augsburg,1,1,Freiburg
Bayern Munich,1,1,Dortmund
Greuther Furth,0,1,Stuttgart
Leverkusen,1,0,Nurnberg
Mainz,2,1,Hannover
Wolfsburg,1,1,Hamburg
Hoffenheim,1,4,Werder Bremen
Hamburg,2,0,Hoffenheim
Augsburg,0,2,Bayern Munich
Dortmund,2,3,Wolfsburg
Ein Frankfurt,4,1,Werder Bremen
Freiburg,1,0,Greuther Furth
Nurnberg,2,0,Fortuna Dusseldorf
Stuttgart,3,1,Schalke 04
M'gladbach,2,0,Mainz
Hannover,3,2,Leverkusen
Bayern Munich,1,1,M'gladbach
Fortuna Dusseldorf,2,1,Hannover
Greuther Furth,1,1,Augsburg
Leverkusen,3,0,Hamburg
Mainz,3,1,Stuttgart
Schalke 04,1,3,Freiburg
Wolfsburg,0,2,Ein Frankfurt
Hoffenheim,1,3,Dortmund
Werder Bremen,1,1,Nurnberg
Schalke 04,5,4,Hannover
Bayern Munich,2,0,Greuther Furth
Wolfsburg,2,0,Stuttgart
Werder Bremen,0,5,Dortmund
Hoffenheim,0,0,M'gladbach
Leverkusen,3,1,Ein Frankfurt
Mainz,0,0,Freiburg
Nurnberg,1,1,Hamburg
Fortuna Dusseldorf,2,3,Augsburg
Dortmund,3,0,Nurnberg
Augsburg,0,0,Schalke 04
Ein Frankfurt,2,1,Hoffenheim
Freiburg,0,0,Leverkusen
Greuther Furth,0,3,Mainz
Hannover,2,1,Wolfsburg
M'gladbach,2,1,Fortuna Dusseldorf
Hamburg,3,2,Werder Bremen
Stuttgart,0,2,Bayern Munich
Werder Bremen,2,0,Hannover
Mainz,0,3,Bayern Munich
Wolfsburg,1,1,Augsburg
Hamburg,0,2,Ein Frankfurt
Hoffenheim,2,1,Freiburg
Schalke 04,1,2,Greuther Furth
Fortuna Dusseldorf,3,1,Stuttgart
Leverkusen,2,3,Dortmund
Nurnberg,2,1,M'gladbach
Bayern Munich,4,0,Schalke 04
Dortmund,1,4,Hamburg
Ein Frankfurt,0,0,Nurnberg
Hannover,1,0,Hoffenheim
M'gladbach,3,3,Leverkusen
Stuttgart,1,4,Werder Bremen
Greuther Furth,0,1,Wolfsburg
Augsburg,1,1,Mainz
Freiburg,1,0,Fortuna Dusseldorf
Wolfsburg,0,2,Bayern Munich
Werder Bremen,2,3,Freiburg
Mainz,2,2,Schalke 04
Leverkusen,2,1,Augsburg
Dortmund,3,0,Ein Frankfurt
Hamburg,1,0,M'gladbach
Fortuna Dusseldorf,1,0,Greuther Furth
Hoffenheim,0,1,Stuttgart
Nurnberg,2,2,Hannover
Freiburg,0,0,Ein Frankfurt
Augsburg,2,1,Hoffenheim
Bayern Munich,6,1,Werder Bremen
Mainz,1,1,Wolfsburg
Schalke 04,2,1,Fortuna Dusseldorf
Stuttgart,1,1,Nurnberg
Hannover,5,1,Hamburg
Greuther Furth,0,0,Leverkusen
M'gladbach,1,1,Dortmund
Ein Frankfurt,0,1,M'gladbach
Werder Bremen,0,1,Augsburg
Wolfsburg,1,4,Schalke 04
Leverkusen,2,1,Stuttgart
Hamburg,1,1,Greuther Furth
Dortmund,3,1,Hannover
Nurnberg,1,1,Freiburg
Fortuna Dusseldorf,1,1,Mainz
Hoffenheim,0,1,Bayern Munich
Augsburg,1,2,Nurnberg
Schalke 04,2,1,Dortmund
M'gladbach,1,1,Werder Bremen
Mainz,1,0,Leverkusen
Freiburg,2,5,Wolfsburg
Bayern Munich,3,2,Fortuna Dusseldorf
Greuther Furth,0,3,Hoffenheim
Hannover,0,0,Ein Frankfurt
Stuttgart,0,1,Hamburg
Wolfsburg,1,1,Fortuna Dusseldorf
Werder Bremen,2,2,Greuther Furth
Nurnberg,3,0,Schalke 04
Leverkusen,1,2,Bayern Munich
Hamburg,0,1,Augsburg
Hoffenheim,0,0,Mainz
Dortmund,5,1,Freiburg
M'gladbach,1,0,Hannover
Ein Frankfurt,1,2,Stuttgart
Augsburg,0,2,Hannover
Bayern Munich,9,2,Hamburg
Fortuna Dusseldorf,1,4,Leverkusen
Freiburg,2,0,M'gladbach
Mainz,1,1,Werder Bremen
Schalke 04,3,0,Hoffenheim
Stuttgart,1,2,Dortmund
Greuther Furth,2,3,Ein Frankfurt
Wolfsburg,2,2,Nurnberg
Hoffenheim,3,0,Fortuna Dusseldorf
Werder Bremen,0,2,Schalke 04
Leverkusen,1,1,Wolfsburg
M'gladbach,1,0,Greuther Furth
Ein Frankfurt,0,1,Bayern Munich
Dortmund,4,2,Augsburg
Hamburg,0,1,Freiburg
Hannover,0,0,Stuttgart
Nurnberg,2,1,Mainz
Freiburg,3,1,Hannover
Wolfsburg,2,2,Hoffenheim
Schalke 04,2,2,Leverkusen
Mainz,1,2,Hamburg
Fortuna Dusseldorf,2,2,Werder Bremen
Bayern Munich,4,0,Nurnberg
Greuther Furth,1,6,Dortmund
Augsburg,2,0,Ein Frankfurt
Stuttgart,2,0,M'gladbach
M'gladbach,1,0,Augsburg
Werder Bremen,0,3,Wolfsburg
Hannover,1,6,Bayern Munich
Leverkusen,5,0,Hoffenheim
Ein Frankfurt,1,0,Schalke 04
Hamburg,2,1,Fortuna Dusseldorf
Dortmund,2,0,Mainz
Nurnberg,0,1,Greuther Furth
Stuttgart,2,1,Freiburg
Greuther Furth,2,3,Hannover
Augsburg,3,0,Stuttgart
Bayern Munich,1,0,Freiburg
Fortuna Dusseldorf,1,2,Dortmund
Hoffenheim,2,1,Nurnberg
Leverkusen,1,0,Werder Bremen
Wolfsburg,3,1,M'gladbach
Mainz,0,0,Ein Frankfurt
Schalke 04,4,1,Hamburg
M'gladbach,0,1,Schalke 04
Werder Bremen,2,2,Hoffenheim
Stuttgart,0,2,Greuther Furth
Nurnberg,0,2,Leverkusen
Ein Frankfurt,3,1,Fortuna Dusseldorf
Dortmund,1,1,Bayern Munich
Hannover,2,2,Mainz
Freiburg,2,0,Augsburg
Hamburg,1,1,Wolfsburg
Bayern Munich,3,0,Augsburg
Fortuna Dusseldorf,1,2,Nurnberg
Greuther Furth,1,2,Freiburg
Hoffenheim,1,4,Hamburg
Leverkusen,3,1,Hannover
Mainz,2,4,M'gladbach
Schalke 04,1,2,Stuttgart
Werder Bremen,1,1,Ein Frankfurt
Wolfsburg,3,3,Dortmund
Stuttgart,2,2,Mainz
Nurnberg,3,2,Werder Bremen
M'gladbach,3,4,Bayern Munich
Dortmund,1,2,Hoffenheim
Hannover,3,0,Fortuna Dusseldorf
Hamburg,0,1,Leverkusen
Augsburg,3,1,Greuther Furth
Ein Frankfurt,2,2,Wolfsburg
Freiburg,1,2,Schalke 04
