HomeTeam,HG,AG,AwayTeam
AnkurNishant,3,1,GaganRaghav
AnkurGagan,2,1,NishantRaghav
AnkurRaghav,1,2,GaganNishant
AnkurNishant,0,4,GaganRaghav
AnkurGagan,2,0,NishantRaghav
AnkurRaghav,2,5,GaganNishant
AnkurNishant,4,2,GaganRudra
AnkurRaghav,1,7,GaganNishant
AnkurGagan,4,0,NishantRudra
AnkurRaghav,3,3,GaganNishant
AnkurNishant,1,0,GaganRaghav
AnkurGagan,0,4,NishantRaghav
AnkurRudra,2,5,NishantRaghav
AnkurGagan,1,1,RaghavRudra
AnkurGagan,2,4,NishantRudra
GaganNishant,4,3,RaghavRudra
AnkurNishant,2,1,GaganRudra
AnkurNishant,2,3,GaganRaghav
AnkurNishant,1,2,GaganRudra
AnkurNishant,0,2,GaganRudra
AnkurGagan,2,1,NishantRudra
AnkurGagan,2,0,NishantRudra
AnkurGagan,4,3,NishantRudra
AnkurRudra,2,4,GaganRaghav
GaganNishant,2,0,AnkurRudra
GaganNishant,3,1,AnkurRudra
GaganNishant,4,1,AnkurRudra
NishantRudra,5,2,AnkurRaghav
NishantRaghav,1,3,AnkurGagan
NishantRaghav,6,2,AnkurGagan
GaganNishant,3,2,RaghavRudra
AnkurNishant,5,1,GaganRudra
AnkurNishant,3,2,GaganRaghav
AnkurGagan,4,2,NishantRudra
AnkurNishant,0,2,GaganRudra
AnkurRudra,1,5,GaganNishant
AnkurGagan,5,1,NishantRudra
AnkurNishant,3,1,GaganRudra
AnkurRudra,0,2,GaganNishant
GaganNishant,2,3,RaghavRudra
AnkurNishant,2,2,GaganRudra
NishantRudra,3,2,GaganRaghav
NishantRudra,1,0,GaganRaghav
NishantRaghav,4,3,AnkurRudra
AnkurNishant,0,0,RaghavRudra
AnkurGagan,1,0,NishantRudra
AnkurNishant,4,2,GaganRudra
AnkurRudra,1,4,GaganNishant
AnkurGagan,1,0,NishantRudra
AnkurNishant,3,1,GaganRudra
AnkurRudra,1,0,GaganNishant
AnkurNishant,0,2,GaganRudra
AnkurGagan,1,4,NishantRudra
AnkurRudra,4,1,GaganNishant
AnkurNishant,3,2,GaganRaghav
GaganNishant,4,1,AnkurRaghav
NishantRaghav,2,0,AnkurGagan
AnkurNishant,0,1,GaganRudra
AnkurRudra,0,0,GaganNishant
AnkurGagan,3,4,NishantRaghav
NishantRudra,1,2,GaganRaghav
AnkurNishant,2,7,RaghavRudra
NishantRaghav,6,1,AnkurGagan
GaganRudra,1,1,AnkurRaghav
GaganNishant,3,1,AnkurRaghav
AnkurGagan,3,2,NishantRudra
AnkurGagan,0,1,NishantRudra
AnkurNishant,11,1,GaganRudra
AnkurRudra,1,0,GaganNishant
