Rank,Team,Form,LatestPPG,NumGamesConsidered
1,Man City,WWWWWWLDDW,2.3,10
2,Man United,WWLDWLWWWW,2.2,10
3,Wigan,WWWLWWLWWD,2.2,10
4,Newcastle,LLWLWWWWWW,2.1,10
5,Everton,WDDWDWDWWL,1.9,10
6,Arsenal,WDDDLWWLWW,1.8,10
7,Fulham,LWWLWDWWLL,1.6,10
8,Tottenham,WDWWLLDWDD,1.6,10
9,Chelsea,WLLWDDWWDL,1.5,10
10,QPR,LWLWLWLWLW,1.5,10
11,Bolton,DDLDWDLLWW,1.3,10
12,West Brom,LDDWWLWLLD,1.2,10
13,Norwich,WDLLLWDLWL,1.1,10
14,Swansea,WLDDWLLLLW,1.1,10
15,Liverpool,LWLWLWDLLL,1,10
16,Stoke,DLDDLDWLDD,0.9,10
17,Sunderland,LLDDDLDDWL,0.8,10
18,Blackburn,LLLWLLLLLW,0.6,10
19,Aston Villa,LDDLDLDDLL,0.5,10
20,Wolves,LDDLDLLLLL,0.3,10
