Rank,Team,GamesPlayed,Points,GoalDifference,Wins,Losses,Draws,GoalsScored,GoalsAllowed,CleanSheets,CleanSheetsAgainst,BigWins,BigLosses
1,Man City,38,89,64,28,5,5,93,29,17,5,13,0
2,Man United,38,89,56,28,5,5,89,33,20,3,9,2
3,Arsenal,38,70,25,21,10,7,74,49,13,5,7,1
4,Tottenham,38,69,25,20,9,9,66,41,14,6,4,3
5,Newcastle,38,65,5,19,11,8,56,51,15,7,2,4
6,Chelsea,38,64,19,18,10,10,65,46,10,8,6,1
7,Everton,38,56,10,15,12,11,50,40,12,10,2,1
8,Fulham,38,52,-3,14,14,10,48,51,11,13,4,4
9,Liverpool,38,52,7,14,14,10,47,40,12,13,4,2
10,Norwich,38,47,-14,12,15,11,52,66,3,9,0,4
11,Swansea,38,47,-7,12,15,11,44,51,14,15,3,3
12,West Brom,38,47,-7,13,17,8,45,52,10,12,3,3
13,Stoke,38,45,-17,11,15,12,36,53,9,13,0,4
14,Sunderland,38,45,-1,11,15,12,45,46,12,13,3,2
15,Wigan,38,43,-20,11,17,10,42,62,8,11,1,4
16,Aston Villa,38,38,-16,7,14,17,37,53,9,15,0,3
17,QPR,38,37,-23,10,21,7,43,66,7,11,2,3
18,Bolton,38,36,-31,10,22,6,46,77,3,14,2,8
19,Blackburn,38,31,-30,8,23,7,48,78,3,10,0,5
20,Wolves,38,25,-42,5,23,10,40,82,4,13,0,8
