Rank,Team,GamesPlayed,Points,GoalDifference,Wins,Losses,Draws,GoalsScored,GoalsAllowed,CleanSheets,CleanSheetsAgainst,BigWins,BigLosses
1,Bayern Munich,34,91,80,29,1,4,98,18,21,0,13,0
2,Dortmund,34,66,39,19,6,9,81,42,8,1,7,1
3,Leverkusen,34,65,26,19,7,8,65,39,11,4,4,1
4,Schalke 04,34,55,8,16,11,7,58,50,8,6,5,2
5,Ein Frankfurt,34,51,3,14,11,9,49,46,8,11,2,2
6,Freiburg,34,51,5,14,11,9,45,40,13,9,2,2
7,Hamburg,34,48,-11,14,14,6,42,53,8,11,2,5
8,M'gladbach,34,47,-4,12,11,11,45,49,9,8,0,2
9,Hannover,34,45,-2,13,15,6,60,62,8,6,4,2
10,Nurnberg,34,44,-8,11,12,11,39,47,7,11,1,4
11,Stuttgart,34,43,-18,12,15,7,37,55,8,11,0,5
12,Wolfsburg,34,43,-5,10,11,13,47,52,5,10,3,4
13,Mainz,34,42,-2,10,12,12,42,44,9,9,2,2
14,Werder Bremen,34,34,-16,8,16,10,50,66,3,6,3,5
15,Augsburg,34,33,-18,8,17,9,33,51,8,13,1,1
16,Hoffenheim,34,31,-25,8,19,7,42,67,6,12,3,6
17,Fortuna Dusseldorf,34,30,-18,7,18,9,39,57,8,9,1,5
18,Greuther Furth,34,21,-34,4,21,9,26,60,5,16,0,4
